No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,解説者,管理者,内科,呼吸器内科,循環器内科,消化器内科,腎臓内科,神経内科,糖尿病内科,血液内科,皮膚科,アレルギー科,リウマチ科,感染症内科,小児科,精神科,心療内科,外科,呼吸器外科,循環器外科,乳腺外科,気管食道外科,消化器外科,泌尿器科,肛門外科,脳神経外科,整形外科,形成外科,美容外科,眼科,耳鼻咽喉科,小児外科,産婦人科,産科,婦人科,リハビリテーション科,放射線科,麻酔科,病理診断科,臨床検査科,救急科,一般病床,療養病床,計,備考,歯科標榜,緯度,経度
36,特別養護老人ホーム　ゆり花園　診療所,959-3942,村上市,勝木862-10,0254-77-2475,平成8年4月1日,社会福祉法人　村上岩船福祉会,初野　弥一,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.089813,139.545410
37,佐藤内科小児科医院,959-3265,関川村,大字下関915,0254-64-1047,昭和61年12月1日,医療法人社団　佐藤内科小児科医院,佐藤　靖,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.083347,139.555481
38,関川村国民健康保険 関川診療所,959-3265,関川村,大字下関515-1,0254-64-1051,昭和55年4月1日,関川村,土田　雅史,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.468304,139.254410
39,特別養護老人ホーム　垂水の里　診療所,959-3261,関川村,大字湯沢728-1,0254-64-2322,平成10年10月1日,社会福祉法人村上岩船福祉会,佐藤　靖,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.094425,139.604797
40,粟島へき地出張診療所,958-0061,粟島浦村,大字日の見山1513-11,0254-55-2111,平成14年4月1日,粟島浦村,小出　章,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,○,38.225243,139.515274
41,関川村巡回診療所,959-3265,関川村,大字下関515-1,0254-64-1441,昭和55年6月14日,関川村,土田　雅史,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.232468,139.526718
42,特別養護老人ホーム　神林の里　診療所,959-3423,村上市,九日市69番地1,0254-75-5041,平成30年4月20日,社会福祉法人　新生福祉会,佐藤　一宜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.179932,139.462967
43,むらかみ松岡眼科,958-0834,村上市,新町9-74,0254-53-0052,令和2年10月1日,松岡　尚気,松岡　尚気,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.223392,139.490891
44,上田眼科,959-3107,村上市,下鍜冶屋603-1,0254-62-0123,令和4年10月1日,医療法人社団　上田眼科,上田　潤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.112038,139.452881
45,村上おかだクリニック,958-0842,村上市,大町3番25号2,0254-75-6150,令和5年5月1日,岡田　慎輔,岡田　慎輔,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.224030,139.478470
46,肴町医科歯科医院,958-0854,村上市,田端町16-7,0254-53-2781,令和6年3月1日,医療法人　山北会,戸澤　和夫,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,○,37.903095,139.451508
47,きむら内科クリニック,958-0857,村上市,飯野3丁目16—5,0254-75-8500,令和6年4月2日,木村　新平,木村　新平,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.933250,139.280212
48,東谷医院,957-0053,新発田市,中央町4丁目11番22号,0254-24-5555,令和2年8月1日,東谷　正来,東谷　正来,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.951775,139.328186
49,阿部医院,957-0021,新発田市,五十公野6804-1,0254-21-2251,平成10年12月1日,阿部　洋一,阿部　洋一,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.930077,139.347046
50,安斎クリニック,957-0015,新発田市,東新町1丁目4-5,0254-21-3141,平成18年5月1日,医療法人　安斎クリニック,安斎　裕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,37.948574,139.341888
51,いしい眼科,957-0055,新発田市,諏訪町1-9-29,0254-24-5265,平成1年12月1日,医療法人社団　いしい眼科,石井　八寿江,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.943943,139.333298
52,今井眼科医院,957-0054,新発田市,本町3-2-1,0254-23-8887,平成13年7月16日,医療法人社団　慈光会,畑瀬　哲尚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.950390,139.333084
53,医療法人　信眼会　信田眼科医院,957-0065,新発田市,舟入町1-2-36,0254-20-5588,平成18年10月1日,医療法人　信眼会,小川　武,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.955120,139.308014
54,いけだ耳鼻科　駅前医院,957-0055,新発田市,諏訪町1-3-5,0254-23-2123,昭和61年12月1日,医療法人社団　駅前医院,池田　正直,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,,4 ,,,37.945148,139.332993
55,大杉脳外科医院,957-0063,新発田市,新栄町1-2-21,0254-23-8211,平成18年5月1日,医療法人社団　大杉脳外科医院,渡邉　徹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.953808,139.303223
56,大峰寮診療所,959-2477,新発田市,大字下坂町266,0254-33-2314,S50.8,社会福祉法人　加治川郷,笹川　康夫,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.026451,139.385086
57,一般財団法人　下越総合健康開発センター,957-0054,新発田市,本町4-16-83,0254-24-1145,昭和57年4月1日,一般財団法人下越総合健康開発センター,佐々木　亮,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.947662,139.338104
58,片桐記念クリニック,957-0061,新発田市,住吉町4-3-9,0254-24-5515,令和4年10月1日,医療法人社団六泉会,鳥越　孝仁,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.946091,139.312347
59,木島整形外科,957-0016,新発田市,豊町4丁目1-4,0254-26-7271,平成8年4月1日,医療法人社団　木島医院,木島　秀人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,37.939987,139.339844
60,けんちゃんクリニック,957-0017,新発田市,新富町2目6番18号,0254-24-8111,平成18年7月3日,医療法人社団けんちゃんクリニック,中山　健司,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.957058,139.340454
61,小島医院,959-2335,新発田市,本田3470-5,0254-32-2558,平成10年12月1日,医療法人社団　小島医院,小島　豊雄,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.890747,139.269119
62,斉藤医院,957-0016,新発田市,豊町2-2-23,0254-24-1336,平成3年6月1日,医療法人社団　斎藤医院,齋藤　洋,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,内分泌内科,,37.941422,139.336060
63,笹川医院,959-2477,新発田市,下小中山392,0254-33-2427,昭和63年4月1日,医療法人社団　笹川医院,笹川　康夫,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.018883,139.380829
64,佐々木医院,957-0053,新発田市,中央町5-3-18,0254-22-4555,平成6年2月1日,佐々木　亮,佐々木　亮,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,37.950790,139.331711
65,新発田ひらた内科クリニック,957-0062,新発田市,富塚町2丁目1番28号,0254-22-1159,令和7年8月6日,医療法人社団　明幸会,平田　明,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.951065,139.302811
66,新発田市保健センタ―,957-0054,新発田市,本町4-16-83,0254-22-0874,昭和58年6月1日,新発田市,渡部　憲一,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.947662,139.338104
67,しばた心と体クリニック,957-0061,新発田市,住吉町4丁目8番26号,0254-28-3200,平成27年10月1日,医療法人　新心会,小河原　克人,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,内視鏡内科､漢方内科､漢方精神科,,37.944336,139.314041
68,新発田地区救急診療所,957-0054,新発田市,本町1丁目16番14号,0254-23-8350,令和2年4月1日,下越福祉行政組合,中川　巌,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.946014,139.336395
69,新発田皮フ科,957-0063,新発田市,新栄町2-11-56,0254-22-1112,平成15年9月1日,医療法人社団　新発田皮フ科,池滝　勝史,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.954594,139.298660
70,せき内科・消化器科医院,957-0054,新発田市,本町3-5-15,0254-26-1231,平成3年4月1日,医療法人社団　せき内科・消化器科医院,釋　亮也,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.951866,139.336945
71,社会福祉法人のぞみの家福祉会　障害者支援施設　緑風園　医務室,957-0021,新発田市,五十公野4685番地42,0254-22-4298,平成18年9月1日,社会福祉法人のぞみの家福祉会,諸橋　優子,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.933365,139.352448
72,小児科　桑島医院,957-0052,新発田市,大手町3-5-19,0254-22-3075,平成18年4月1日,桑島　宏彰,桑島　宏彰,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.952938,139.320908
73,城北クリニック,957-0067,新発田市,中曽根町1丁目3番25号,0254-21-1171,令和1年9月1日,医療法人社団城北クリニック,樋口　健一,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.959885,139.318512
74,須貝医院,957-0231,新発田市,藤塚浜1884,0254-41-2048,平成1年12月1日,須貝　孝治,須貝　孝治,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,38.028835,139.307617
75,すずき医院,957-0057,新発田市,御幸町2-12-1,0254-20-5055,平成16年4月1日,医療法人社団すずき医院,鈴木　孝幸,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.948036,139.316025
76,すどう小児クリニック,957-0016,新発田市,豊町2-9-1,0254-26-8881,平成19年4月1日,医療法人　すどう小児クリニック,須藤　正二,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.942883,139.335968
77,関耳鼻科クリニック,957-0061,新発田市,住吉町4丁目20番2号,0254-20-5225,平成19年4月1日,医療法人社団　聡明会,関　聡,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,37.941589,139.311142
78,関塚医院,957-000６,新発田市,中田町2丁目17番15号,0254-26-1405,令和1年10月27日,医療法人社団　関塚医院　,関塚　直人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,,19 ,分娩取扱い,,37.967873,139.328247
79,高橋クリニック,957-0017,新発田市,新富町1-1-27,0254-20-3210,平成13年4月1日,医療法人社団　高橋クリニック,高橋　等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.951859,139.338226
80,たかはし脳外科皮フ科医院,957-0056,新発田市,住吉町2-3-17,0254-20-5577,平成19年4月1日,医療法人社団　高橋脳外科皮フ科医院　,高橋　祥,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,37.948418,139.313202
81,田中医院,957-0055,新発田市,諏訪町3-4-6,0254-22-3917,昭和61年12月1日,医療法人社団　田中医院,田中　隆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,脳神経内科,,37.942390,139.329330
82,富樫医院,957-0053,新発田市,中央町3-2-11,0254-22-3901,昭和61年12月1日,医療法人社団　富樫医院,冨樫　辰郎,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,37.946934,139.326233
