No,施設名,〒,所在地1,所在地2,℡,開　 設 年月日,開設者,管理者,歯科,矯正,小歯,口腔,備考,緯度,経度
60,西方歯科診療所,957-0056,新発田市,大栄町3丁目1番16号,0254-23-6480,平成23年7月20日,医療法人 社団西方歯科診療所,西方　俊彌,1,0,0,0,,37.94334,139.325623
61,布村歯科医院,957-0056,新発田市,大栄町6-6-21,0254-26-1579,平成22年8月1日,布村　玲輔,布村　玲輔,1,0,0,0,,37.939445,139.324387
62,野田歯科医院,957-0082,新発田市,佐々木164,0254-27-8301,平成8年9月5日,原田　恵子,原田　恵子,1,0,0,0,,37.952335,139.263901
63,ハート歯科クリニック,957-0067,新発田市,中曽根町1-3-10,0254-21-7667,平成27年4月1日,医療法人　新発田中曽根会,村上　心平,1,0,1,1,,37.959957,139.31662
64,HARADA DENTAL CLINIC,957-0016,新発田市,豊町2丁目6番27号,0254-23-2333,平成18年4月1日,HARADA DENTAL CLINIC,原田　健一,1,1,1,1,,37.940132,139.338135
65,星野歯科医院,957-0061,新発田市,住吉町4丁目19番2号,0254-21-0960,平成18年5月8日,星野　建介,星野　建介,1,0,0,0,,37.941498,139.311569
66,まるやま歯科医院,956-0062,新発田市,富塚町1-24-15,0254-28-9242,令和2年1月15日,丸山　拓,丸山　拓,1,1,1,1,,37.944611,139.303391
67,村山歯科医院,957-0056,新発田市,大栄町7-1-8,0254-23-1019,平成15年9月1日,医療法人社団　M.D.C,村山　良雄,1,1,0,0,,37.94627,139.327148
68,メディケア歯科クリニック,957-0061,新発田市,住吉町5丁目11番5号ｲｵﾝﾓｰﾙ新発田1階,0254-28-7838,平成26年5月15日,医療法人社団 伸詠会,鈴木　理恵,1,1,1,1,,37.941456,139.309586
69,柳川歯科医院,957-0017,新発田市,新富町1-5-10,0254-22-6655,平成28年9月1日,医療法人社団　柳川歯科医院,柳川　俊明,1,0,1,1,,37.954685,139.336807
70,山崎歯科医院,957-0052,新発田市,大手町2-2-2,0254-24-2171,昭和61年12月1日,医療法人社団　山崎歯科医院,山崎　太亮,1,1,1,0,,37.951427,139.322556
71,山田歯科医院,957-0053,新発田市,中央町1-6-19,0254-24-8318,平成元年4月14日,山田　一夫,山田　一夫,1,0,0,0,,37.949715,139.328735
72,山城歯科医院,957-0058,新発田市,西園町3-1-33,0254-23-6222,平成21年4月1日,山城　秀樹,山城　秀樹,1,0,1,0,,37.95472,139.320465
73,いいじま歯科クリニック,957-0063,新発田市,新栄町2丁目2番3号,0254-23-0648,令和5年4月18日,医療法人社団 友和会,飯島　浩,1,0,0,0,,37.951328,139.299286
74,アイザワ歯科医院,959-2015,阿賀野市,北本町4-5,0250-62-1224,昭和61年6月25日,相沢　雄司,相沢　雄司,1,0,0,0,,37.840878,139.227127
75,阿部歯科医院,959-2022,阿賀野市,外城町17-32,0250-62-2148,平成15年10月25日,阿部　高道,阿部　高道,1,0,0,0,,37.836201,139.234695
76,猪股歯科医院,959-2025,阿賀野市,岡山町13-37,0250-62-1222,昭和58年5月6日,猪股　文明,猪股　文明,1,1,1,0,,37.833477,139.223114
77,かねこ歯科医院,959-2037,阿賀野市,百津町4-29,0250-63-9200,平成19年7月13日,金子　進,金子　進,1,0,1,0,,37.82888,139.218307
78,京ヶ瀬歯科医院,959-2112,阿賀野市,姥ｹ橋998-1,0250-67-2611,平成13年3月1日,田尻　博志,田尻　博志,1,0,0,0,,37.842884,139.186172
79,こばやし歯科医院,959-1968,阿賀野市,榎舟渡111,0250-63-2626,平成6年4月11日,小林　秀人,小林　秀人,1,1,1,0,,37.879055,139.240341
80,斎藤歯科医院,959-2021,阿賀野市,中央町1-11-22,0250-62-2023,平成19年8月29日,斎藤　和俊,斎藤　和俊,1,0,0,0,,37.838463,139.228882
81,さの歯科クリニック,959-2221,阿賀野市,保田1768-1,0250-68-1110,平成10年11月20日,佐野　俊哉,佐野　俊哉,1,0,1,0,,37.773476,139.234467
82,医療法人厚徳会まつむらデンタルクリニック,959-2033,阿賀野市,百津町9-36,0250-62-2151,平成6年4月1日,医療法人　厚徳会,唐澤　康太,1,1,1,0,,37.827503,139.226807
83,たかはし歯科クリニック,959-2024,阿賀野市,中島町7-4,0250-25-7581,平成28年4月11日,高橋　希,高橋　希,1,1,1,1,,37.834873,139.227478
84,冨田歯科医院,959-2021,阿賀野市,中央町1-5-1,0250-62-6480,平成5年10月1日,冨田　直志,冨田　直志,1,0,0,0,,37.840557,139.23024
85,にらさわ歯科医院,959-2021,阿賀野市,中央町2-13-14,0250-63-2888,平成9年6月23日,韮澤　敏,韮澤　敏,1,0,0,0,,37.839676,139.221817
86,緑岡歯科医院,959-2113,阿賀野市,緑岡3-1,0250-67-2777,昭和61年11月1日,渡辺　他鶴,渡辺　他鶴,1,0,0,0,,37.841305,139.188034
87,山浦歯科医院,959-2205,阿賀野市,寺社甲160-3,0250-68-5763,平成5年10月1日,山浦　薫,山浦　薫,1,0,0,0,,37.784607,139.229904
88,よしだ歯科医院,959-2005,阿賀野市,山口1-6-8,0250-62-0139,平成元年10月26日,吉田　常男,吉田　常男,1,1,1,0,,37.847195,139.213837
89,有松歯科医院,959-2644,胎内市,大川町14-49,0254-43-5385,平成29年10月1日,医療法人社団　有松歯科医院,有松　圭,1,0,1,1,,38.049568,139.40657
90,黒川歯科診療所,959-2807,胎内市,黒川1410番地,0254-47-2356,平成17年9月1日,胎内市長,田邊　義浩,1,1,1,0,,38.073917,139.440308
91,小林歯科医院,959-2643,胎内市,東本町22-27,0254-39-1182,平成11年4月1日,医療法人社団　小林歯科医院,小林　豊,1,0,1,0,,38.057743,139.411224
92,斎藤歯科医院,959-2648,胎内市,住吉町10-12,0254-43-3462,昭和61年5月8日,斎藤　栄喜,斎藤　栄喜,1,0,0,0,,38.06245,139.410217
93,佐藤歯科クリニック,959-2655,胎内市,本郷546-5,0254-43-5188,昭和62年4月9日,佐藤　宜紀,佐藤　宜紀,1,1,1,0,,38.060455,139.398132
94,新栄町歯科医院,959-2632,胎内市,新栄町2-54,0254-43-6480,平成20年4月1日,医療法人社団　尽誠会,佐久間　利喜,1,1,1,0,,38.049133,139.402359
95,鈴木歯科医院,959-2645,胎内市,本町1-19,0254-43-2013,平成30年1月18日,鈴木　次郎,鈴木　次郎,1,0,0,0,,38.052757,139.402878
96,丹呉歯科医院,959-2645,胎内市,本町2-26,0254-43-2179,平成8年6月1日,丹呉　寿宏,丹呉　寿宏,1,0,0,0,,38.053177,139.403763
97,NOZAWA Dental　Clinic 野沢歯科医院,959-2643,胎内市,東本町1-4,0254-43-2141,平成25年6月1日,野沢　一禎,野沢　一禎,1,0,1,1,,38.053825,139.403885
98,舟山歯科医院,959-2602,胎内市,乙719-5,0254-46-2703,平成9年4月5日,三浦　友介,三浦　友介,1,0,0,0,,38.116982,139.406067
99,村山歯科医院,959-2643,胎内市,東本町21-13,0254-39-1000,平成8年1月4日,村山　文隆,村山　文隆,1,1,1,0,,38.057983,139.41304
100,さとう歯科医院,957-0127,聖籠町,藤寄1361-22,0254-27-5168,平成11年4月2日,佐藤　格夫,佐藤　格夫,1,1,1,1,,37.956005,139.239395
101,鈴木歯科医院,957-0117,聖籠町,諏訪山1646-8,0254-27-3560,昭和60年6月14日,鈴木　和彦,鈴木　和彦,1,0,0,0,,37.973797,139.274612
102,にしかた歯科医院,957-0121,聖籠町,大字大夫2180-6,0254-20-8548,平成24年6月1日,西方　昭二,西方　昭二,1,0,0,0,,37.965279,139.282623
103,みどり歯科,957-0117,聖籠町,諏訪山1118-1,0254-27-8383,平成19年11月1日,大浦　寿郎,大浦　寿郎,1,1,1,1,,37.974323,139.275314
104,胎内ついじ歯科医院,959-2712,胎内市,築地2025-1,0254-20-8815,令和5年1月18日,医療法人愛広会,西村　安義,1,0,0,0,,38.059566,139.356979
105,笹川歯科医院,959-1876,五泉市,泉町1-4-12,0250-43-5109,昭和61年7月1日,笹川真司,笹川真司,1,0,0,0,,37.741669,139.171692
106,浅井歯科医院,959-1823,五泉市,駅前2-6-12,0250-43-0170,昭和61年12月1日,医療法人社団　浅井歯科医院,浅井豊,1,1,1,0,,37.735229,139.181595
107,長谷川歯科医院,959-1813,五泉市,伊勢の川4-13,0250-43-5800,平成元年5月8日,長谷川寛,長谷川寛,1,1,1,0,,37.747749,139.174667
108,亀嶋歯科医院,959-1865,五泉市,本町2-3-30,0250-42-3042,平成6年3月18日,北村旬子,北村旬子,1,0,0,0,,37.740303,139.17598
109,河辺歯科医院,959-1863,五泉市,東本町2-8-44,0250-42-2425,平成9年3月1日,河辺昌秀,河辺昌秀,1,0,1,0,,37.740658,139.182007
110,武田歯科クリニック,959-1834,五泉市,木越1998-1,0250-41-0313,平成10年9月1日,武田明義,武田明義,1,1,1,1,,37.717278,139.183197
111,はらだ歯科医院,959-1865,五泉市,本町1-9-7,0250-42-0163,平成11年11月15日,原田　学,原田　学,1,0,1,0,,37.736095,139.177261
112,川上歯科,959-1604,五泉市,論瀬5975-14,0250-42-2461,平成12年11月1日,医療法人社団　大翔会　川上歯科,村山千江子,1,0,1,0,,37.746986,139.204636
113,小林歯科医院,959-1863,五泉市,東本町2-5-4,0250-42-4362,平成13年4月1日,小林信之,小林信之,1,1,1,1,,37.741093,139.180939
114,あおば歯科,959-1821,五泉市,赤海字下島841-1,0250-58-9720,平成12年7月13日,長谷川敏樹,長谷川敏樹,1,0,1,0,,37.741669,139.193085
115,わたなべ歯科クリニック,959-1836,五泉市,南本町2丁目3-12,0250-42-1366,平成17年4月1日,渡邊大,渡邊大,1,0,1,0,,37.73127,139.176865
116,佐藤歯科医院,959-1705,五泉市,村松乙633,0250-58-6251,昭和57年1月1日,佐藤典,佐藤典,1,0,1,1,,37.690784,139.167587
117,鈴木歯科医院,959-1704,五泉市,村松甲2583-1,0250-58-2822,昭和61年4月7日,鈴木和久,鈴木和久,1,1,1,1,,37.684532,139.172745
118,いいはま歯科クリニック,959-1704,五泉市,村松甲2190-1,0250-58-1182,平成13年4月1日,医療法人社団　いいはま歯科クリニック,飯濱 剛,1,1,1,1,,37.684532,139.172745
119,大歯科医院,959-1811,五泉市,三本木早出3033,0250-47-5017,平成29年11月1日,医療法人 大歯科医院,五十嵐　大,1,1,1,1,,37.749847,139.183365
120,加藤歯科医院,959-1862,五泉市,旭町8-33,0250-43-0398,平成26年4月2日,加藤健介,加藤健介,1,0,1,1,,37.747082,139.180923
121,あこみ歯科クリニック,959-1821,五泉市,赤海2丁目156-4,0250-41-1631,平成26年6月2日,石井多恵子,石井多恵子,1,0,1,0,,37.73587,139.192398
122,鈴木歯科医院,959-4402,阿賀町,津川3540,0254-92-2226,平成26年12月1日,鈴木靖,鈴木靖,1,0,0,0,,37.68256,139.455505
123,倉田歯科医院,959-4402,阿賀町,津川3548,0254-92-3039,昭和58年11月7日,倉田一良,倉田一良,1,1,1,0,,37.68256,139.455505
124,岡村歯科医院,959-4402,阿賀町,津川3357-1,0254-92-5225,昭和63年11月12日,岡村雅弘,岡村雅弘,1,0,1,0,,37.682812,139.452148
125,医療法人厚徳会まつむらデンタルクリニック津川診療所,959-4402,阿賀町,津川674,0254-92-0150,平成6年7月5日,医療法人厚徳まつむらデンタルクリニック,大橋　雄高,1,1,1,0,,37.675423,139.461716
126,小野里歯科医院,959-4402,阿賀町,津川576-1,0254-92-0023,平成8年4月1日,小野里　靖史,小野里　靖史,1,0,0,0,,37.676025,139.458664
127,阿賀町鹿瀬歯科診療所,959-4301,阿賀町,向鹿瀬1154,0254-92-3377,平成17年4月1日,阿賀町長,渡邊　賢一,1,1,1,0,,37.700062,139.481934
128,三川インターデンタルクリニック,959-4626,阿賀町,あが野南4324-14,0254-99-1600,平成24年8月1日,山本　幸司,山本　幸司,1,0,1,0,,37.71032,139.36673
129,上川歯科診療所,959-4507,阿賀町,両郷2150番地,0254-95-2946,平成24年9月1日,山本　幸司,山本　幸司,1,0,1,0,,37.636635,139.467056
130,金丸歯科医院,959-1823,五泉市,駅前2-7-52,0250-43-3870,令和4年12月1日,医療法人社団　泉会,金丸　祥平,1,0,0,1,"R4,12,1移転",37.733837,139.183563
131,あいば歯科医院,955-0844,三条市,桜木町26-5,0256-34-8008,昭和61年7月24日,相場  剛,相場  剛,1,0,0,0,,37.61887,138.946671
132,あおぞら歯科クリニック,955-0808,三条市,新保232-1,0256-32-6667,平成15年10月20日,遠藤　憲之,遠藤　憲之,1,1,1,1,,37.613045,138.962067
133,青葉デンタルクリニック,955-0845,三条市,西本成寺1丁目24番25号,0256-55-7875,平成28年12月19日,小柳　しのぶ,小柳　しのぶ,1,0,1,1,,37.620041,138.941559
134,青栁歯科医院,955-0851,三条市,西四日町4-14-16,0256-34-1901,昭和60年11月9日,青柳  房枝,青柳  房枝,1,1,1,0,,37.621269,138.951416
135,旭町歯科クリニック,955-0065,三条市,旭町2-2-26,0256-33-3341,令和元年6月19日,医療法人社団　結愛会,瀧　豊,1,1,1,1,,37.635326,138.96138
136,市川歯科医院,955-0081,三条市,東裏館2-10-11,0256-35-4057,平成30年11月1日,市川　晋,市川　晋,1,0,0,0,,37.636021,138.958344
137,一ノ木戸大渓歯科医院,955-0045,三条市,一ﾉ門2-4-43,0256-35-7536,昭和58年11月1日,大溪  利夫,大溪  利夫,1,0,0,0,,37.630939,138.967407
138,駅南歯科小林,955-0033,三条市,西大崎1-5-55,0256-38-0007,平成19年5月1日,医療法人社団　駅南歯科小林,小林　弘,1,1,1,0,,37.625793,138.985977
139,大滝歯科医院,955-0151,三条市,荻堀742-1,0256-46-2072,平成9年1月30日,大滝  和昭,大滝  和昭,1,0,0,0,,37.571781,139.033508
140,おかべ歯科医院,955-0803,三条市,月岡1-26-54,0256-31-1711,平成9年5月20日,岡部  清幸,岡部  清幸,1,0,0,0,,37.613483,138.971741
141,きずな歯科クリニック,955-0852,三条市,南四日町1丁目5番7-1号,0256-33-3455,平成24年9月1日,大橋　桂,大橋　桂,1,0,1,1,,37.623077,138.956207
142,北入蔵歯科ワタナベ,955-0053,三条市,北入蔵1丁目3-16,0256-31-5418,平成15年9月1日,医療法人社団憲和会北入蔵歯科ワタナベ,渡辺  和宏,1,0,1,0,,37.631462,138.980972
143,桐生歯科医院,955-0041,三条市,三竹2丁目4番31-3号,0256-31-2282,平成10年7月28日,桐生  尚明,桐生  尚明,1,0,1,0,,37.625748,138.981613
144,くまがい歯科医院,955-0061,三条市,林町2-2-5,0256-35-4317,平成4年7月1日,医療法人社団　くまがい歯科医院,熊谷  淳平,1,1,1,1,,37.632824,138.965027
145,桑原歯科医院,955-0071,三条市,本町3丁目4-1,0256-33-0336,平成元年8月1日,医療法人社団　桑成会桑原歯科医院,桑原  良昭,1,0,1,1,,37.630489,138.955933
146,後藤歯科医院,955-0862,三条市,南新保4番18号,0256-32-3451,昭和61年5月16日,後藤  昭弘,後藤  昭弘,1,0,0,0,,37.621174,138.959946
147,小林歯科クリニック,955-0083,三条市,荒町2丁目22番17号,0256-32-8451,平成8年8月1日,小林  敏栄,小林  敏栄,1,0,0,0,,37.640331,138.953217
148,小山歯科医院,959-1156,三条市,福島新田乙1372-16,0256-45-5234,昭和61年6月25日,小山  良郎,小山  良郎,1,1,1,0,,37.599392,138.929245
149,こもれびの森歯科医院,955-0083,三条市,荒町2丁目25番70号,0256-47-1616,令和5年4月14日,石村　里佳子,石村　里佳子,1,1,1,1,,37.642483,138.955612
150,近藤歯科医院,955-0842,三条市,島田2丁目7-18,0256-34-3722,平成5年9月1日,医療法人社団　近藤歯科医院,近藤  鉄也,1,1,1,0,,37.625988,138.945374
151,佐藤歯科医院,955-0065,三条市,旭町1-6-4,0256-32-5685,昭和49年1月28日,佐藤　隆年,佐藤　隆年,1,0,0,0,,37.631359,138.960876
152,佐藤歯科診療所,955-0071,三条市,本町4-2-28,0256-35-1247,昭和54年4月2日,医療法人社団　腔友会,佐藤　寿祐,1,1,1,0,,37.629726,138.953491
153,歯科榎本医院,955-0045,三条市,一ﾉ門2-8-15,0256-32-1522,昭和54年3月26日,榎本  弘昭,榎本  弘昭,1,1,0,0,,37.62994,138.969818
154,しただ歯科,955-0151,三条市,大字荻堀字七ﾂ新田1275-2,0256-41-2210,平成18年9月1日,医療法人社団　しただ歯科,笹川弘康,1,0,1,1,,37.571781,139.033508
155,じろう歯科診療所,955-0132,三条市,長野337,0256-46-0388,平成25年3月1日,医療法人社団　しただ,奥山　次郎,1,0,1,0,,37.53149,139.121094
156,土田歯科矯正歯科医院,955-0842,三条市,島田2-7-1,0256-32-1182,平成3年10月1日,医療法人社団　土田歯科医院,土田  泰明,1,1,1,0,,37.626457,138.946609
157,ナオ歯科,955-0053,三条市,北入蔵1-1-1,0256-46-0623,平成22年9月1日,山邊　尚之,山邊　尚之,1,0,0,0,,37.631355,138.978745
158,新光歯科クリニック,955-0057,三条市,新光町14-1,0256-64-8218,平成28年12月14日,石田　光平,石田　光平,1,1,1,1,,37.641434,138.966934
159,日本歯科大学在宅ケア新潟クリニック,955-0092,三条市,須頃1丁目65番地,0256-47-1210,平成30年3月19日,学校法人 日本歯科大学,田中　彰,1,0,0,0,,37.647243,138.936234
160,野島歯科医院,955-0072,三条市,元町18番3号,0256-35-5839,平成12年12月1日,野島　真介,野島　真介,1,0,0,0,,37.633087,138.955414
161,はなみ矯正歯科,955-0091,三条市,上須頃597,0256-34-8282,平成16年4月1日,花見　由香里,花見　由香里,0,1,0,0,,37.635864,138.936752
162,羽生歯科医院,955-0055,三条市,塚野目4丁目13-5,0256-33-3551,平成2年8月1日,医療法人社団　羽生歯科医院,羽生  好太,1,0,0,0,,37.636982,138.974747
163,林町歯科医院,955-0061,三条市,林町2-14-3,0256-32-6480,昭和61年5月1日,目黒  宣行,目黒  宣行,1,0,0,0,,37.636433,138.966751
